id,area,priority,phase,evidence,work,acceptance,effort_risk,dependencies,source_references
T01,"Transactions, topology storage and lifetime",P1,3,M,Introduce a transaction coordinator/savepoints so one mutating WASM operation does not independently snapshot the same topology at each nested native wrapper.,"Count snapshot count/bytes versus document size and nesting depth; preserve per-item batch commits, nested rollback, journals, attributes, and permanently stale failed handles.",L/high,M04; M05; W01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/transaction.rs#L40; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/arena.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/topology.rs#L108; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/wasm/src/bindings/batch.rs#L458; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/ds/shape_store.rs#L88; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/docs/design/deferred-e6b-arena-compaction-and-slot-reuse.md#L1
T02,"Transactions, topology storage and lifetime",P1,3,M,Prototype mutation-local undo records or page/chunk copy-on-write for topology; compare both against the measured whole-topology clone baseline.,"A fixed local edit should track touched state rather than unrelated model size; test all mutation accessors, aliasing, failure injection and snapshot retention.",L/high,T01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/transaction.rs#L40; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/arena.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/topology.rs#L108; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/wasm/src/bindings/batch.rs#L458; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/ds/shape_store.rs#L88; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/docs/design/deferred-e6b-arena-compaction-and-slot-reuse.md#L1
T03,"Transactions, topology storage and lifetime",P1,3,S,"Add an append-only transaction fast path for qualified construction, with a write-set guard and full fallback for operations that mutate existing entities.",Measure 150 makeBox operations at increasing preexisting document sizes; rollback must retire every failed allocation without reissuing IDs.,M/high,T01; T02,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/transaction.rs#L40; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/arena.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/topology.rs#L108; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/wasm/src/bindings/batch.rs#L458; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/ds/shape_store.rs#L88; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/docs/design/deferred-e6b-arena-compaction-and-slot-reuse.md#L1
T04,"Transactions, topology storage and lifetime",P1,3,S,"Share immutable NURBS carrier and pcurve payloads across snapshots, copies and GFA stores, while keeping topology ownership explicit.",Measure clone bytes and import/export cost on large control nets; transformations must detach or create new geometry and leave originals/checkpoints unchanged.,L/high,M05; T02,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/transaction.rs#L40; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/arena.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/topology.rs#L108; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/wasm/src/bindings/batch.rs#L458; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/ds/shape_store.rs#L88; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/docs/design/deferred-e6b-arena-compaction-and-slot-reuse.md#L1
T05,"Transactions, topology storage and lifetime",P1,3,S,Remove redundant geometry clones inside GFA deep-copy materialization and benchmark operand-local staging/export separately from document snapshots.,Track each copied carrier and peak simultaneous buffers; preserve source-to-result face/edge/vertex lineage and shared aliases.,M/medium,M04; M05,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/transaction.rs#L40; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/arena.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/topology.rs#L108; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/wasm/src/bindings/batch.rs#L458; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/ds/shape_store.rs#L88; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/docs/design/deferred-e6b-arena-compaction-and-slot-reuse.md#L1
T06,"Transactions, topology storage and lifetime",P1,3,S,Complete the versioned arena-compaction/checkpoint design before implementing reclamation of retired or unreachable entities.,"Long edit/undo/delete sessions reclaim measured payload memory; old numeric handles cannot alias new objects, persistent references survive or fail explicitly, and formats stay versioned.",XL/high,T02; W04; M05,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/transaction.rs#L40; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/arena.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/topology.rs#L108; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/wasm/src/bindings/batch.rs#L458; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/ds/shape_store.rs#L88; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/docs/design/deferred-e6b-arena-compaction-and-slot-reuse.md#L1
T07,"Transactions, topology storage and lifetime",P2,3,S,Tune arena reservation and layout using actual entity-size and allocation distributions; evaluate chunked storage and packed liveness separately.,"Preserve the existing bounded geometric growth policy; compare memory spikes, clone cost and iteration locality on native and wasm32.",M/high,M05; T02,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/transaction.rs#L40; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/arena.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/topology.rs#L108; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/wasm/src/bindings/batch.rs#L458; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/ds/shape_store.rs#L88; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/docs/design/deferred-e6b-arena-compaction-and-slot-reuse.md#L1
T08,"Transactions, topology storage and lifetime",P2,2,S,Cache solid-local traversal/adjacency results and index persistent-reference signatures/history resolution where repeated queries justify it.,"Measure lookup over increasing topology/history sizes; invalidate on edits, retirement, restore and changed discriminators; preserve deterministic ordering and ambiguity.",M/high,Q02,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/transaction.rs#L40; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/arena.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/topology/src/topology.rs#L108; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/wasm/src/bindings/batch.rs#L458; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/ds/shape_store.rs#L88; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/docs/design/deferred-e6b-arena-compaction-and-slot-reuse.md#L1
Q01,"Spatial bounds, classification and distance",P1,2,S,"Build one operation-local prepared query context holding face IDs, conservative bounds, BVH, analytic descriptors and trim data; reuse across rays and points.","Compare 1/100/10000 points on one solid, including recovery rays; prove equivalence to existing paths for cavities, seams and OnBoundary cases.",M/medium,M04; M07,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/bvh.rs#L212; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/classify/mod.rs#L311; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/distance/mod.rs#L50; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/distance.rs#L57; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/classifier/ray_cast.rs#L159
Q02,"Spatial bounds, classification and distance",P1,2,S,"Add persistent spatial caching after mutation invalidation is proven: topology incarnation plus mutation generation first, finer per-entity revisions later.","Mutate-then-query, raw mutable access, tolerance changes, failed edits, checkpoint restore and same-ID/different-topology cases never reuse stale entries; bound cache memory.",L/high,Q01; M05,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/bvh.rs#L212; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/classify/mod.rs#L311; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/distance/mod.rs#L50; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/distance.rs#L57; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/classifier/ray_cast.rs#L159
Q03,"Spatial bounds, classification and distance",P1,2,M,"Optimize BVH construction after measuring reuse: compare current repeated axis sorts and suffix allocations with binned SAH, median splits and reusable scratch.","Measure build time, memory, traversal work and amortized cost for query counts 1/10/10000 on sparse, clustered and overlapping bounds.",M/medium,Q01; M05,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/bvh.rs#L212; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/classify/mod.rs#L311; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/distance/mod.rs#L50; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/distance.rs#L57; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/classifier/ray_cast.rs#L159
Q04,"Spatial bounds, classification and distance",P1,1,S,Use true nearest-distance branch-and-bound instead of building a BVH then sorting/enumerating all faces; keep explicitly non-prunable faces on a mandatory side list.,"Preserve trimmed-surface and cavity distance results; measure faces tested plus candidate setup, with certified conservative bounds and exhaustive fallback for unknown bounds.",M/high,Q05; M04,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/bvh.rs#L212; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/classify/mod.rs#L311; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/distance/mod.rs#L50; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/distance.rs#L57; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/classifier/ray_cast.rs#L159
Q05,"Spatial bounds, classification and distance",P1,2,S,"Provide conservative finite-span curve/trimmed-face bounds and explicit confidence, improving selectivity without trusting endpoint-only or sample-only boxes.","Analytic extrema and rational control-hull proofs cover full domains; test periodic seams, nonuniform weights, tilted patches and scale before enabling pruning.",L/high,M01; M04,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/bvh.rs#L212; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/classify/mod.rs#L311; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/distance/mod.rs#L50; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/distance.rs#L57; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/classifier/ray_cast.rs#L159
Q06,"Spatial bounds, classification and distance",P2,1,S,Reuse BVH traversal stacks and caller-owned candidate buffers; the current into variants still allocate an internal stack.,Benchmark allocation count and small-query latency; guarantee clean scratch state after early exit/error and deterministic candidate handling.,S/low,M04,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/bvh.rs#L212; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/classify/mod.rs#L311; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/distance/mod.rs#L50; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/distance.rs#L57; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/classifier/ray_cast.rs#L159
Q07,"Spatial bounds, classification and distance",P2,2,S,Accelerate cached GFA ray geometry with conservative spatial culling; it currently caches geometry but still scans its face descriptors.,"Count ray-face evaluations on many-face solids; preserve all analytic crossing multiplicities, grazing recovery and finite trim tests.",M/high,Q01; Q05,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/bvh.rs#L212; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/classify/mod.rs#L311; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/distance/mod.rs#L50; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/distance.rs#L57; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/classifier/ray_cast.rs#L159
Q08,"Spatial bounds, classification and distance",P2,5,H,"Evaluate two-level body/face acceleration and BVH refits for clash, transformed instances, projection and repeated assembly queries.",Compare rebuild versus refit and degeneration after many edits; run exact narrow-phase checks and use instance transforms without copying the body.,L/high,Q02; Q05,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/math/src/bvh.rs#L212; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/classify/mod.rs#L311; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/check/src/distance/mod.rs#L50; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/distance.rs#L57; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/classifier/ray_cast.rs#L159
B01,Booleans and GFA,P1,1,S,Replace sampled straight-line vertex-edge projection with a domain-aware analytic projection; add qualified circle/conic paths separately.,"Count curve evaluations per surviving pair and run VE/GFA scaling; retain tolerance composition, reversed trims, degenerate lines and endpoint behavior.",S/medium,M04; M06,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B02,Booleans and GFA,P1,2,S,Generate vertex-edge candidates spatially instead of visiting every cross-solid pair; current VE only bounds straight edges and scans all edges.,"Test sparse V-by-E growth and curved-edge cases; preserve mandatory processing for unbounded/unqualified boxes and count broad-phase pairs, not only accepted interferences.",M/high,Q05; M04,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B03,Booleans and GFA,P1,2,S,Replace EE all-pairs enumeration with deterministic spatial candidate generation over conservative edge bounds.,"Count pair visits at 10x edge counts; retain overlaps, tangencies, shared IDs and per-entity tolerance margins, with dense worst cases still bounded.",M/high,Q05; M04,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
B04,Booleans and GFA,P1,2,S,Replace FF nested face loops with BVH or sweep candidate generation and shared face metadata.,Benchmark sparse and dense face-pair workloads; candidate completeness and deterministic junction allocation must match the baseline.,M/high,Q05; M04,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L72; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ve.rs#L176; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ee.rs#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/pave_filler/phase_ff.rs#L384; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/operations/src/compound_ops.rs#L686; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/builder/fill_images_faces.rs#L52
